user_id,signup_date,country,acquisition_channel,utm_campaign,first_device,gender,age,plan,marketing_opt_in,is_churned,churn_date
1,2024-03-04,AR,affiliate,,mobile,male,23,free,False,False,
2,2025-07-07,US,organic,retargeting,desktop,male,27,basic,True,False,
3,2025-04-13,FR,organic,spring_sale,mobile,female,38,basic,True,False,
4,2024-11-09,US,organic,,mobile,female,33,enterprise,True,False,
5,2024-11-05,ES,affiliate,brand,desktop,unknown,28,free,,True,2025-02-21
6,2025-09-05,ES,affiliate,back_to_school,desktop,male,24,free,True,True,2025-10-15
7,2024-03-02,AR,affiliate,spring_sale,mobile,female,23,basic,False,False,
8,2025-05-13,ES,paid_search,black_friday,mobile,male,32,pro,True,True,2025-05-20
9,2024-05-24,US,influencer,competitor,mobile,male,53,pro,False,True,2024-06-29
10,2024-03-08,IE,influencer,,mobile,male,39,free,True,False,
11,2025-01-11,US,paid_search,brand,desktop,female,20,pro,True,False,
12,2025-11-28,UK,referral,back_to_school,mobile,female,40,basic,True,False,
13,2025-06-10,US,organic,brand,mobile,female,25,free,True,True,2025-10-05
14,2025-06-28,AR,paid_search,spring_sale,mobile,male,33,basic,True,False,
15,2025-05-27,US,organic,,desktop,male,27,free,True,False,
16,2025-07-16,DE,affiliate,black_friday,mobile,male,53,free,True,False,
17,2025-01-01,BR,paid_search,competitor,mobile,male,22,basic,True,False,
18,2024-04-01,PT,organic,retargeting,mobile,male,36,free,False,True,2024-09-03
19,2025-08-23,ES,paid_social,brand,mobile,female,26,free,True,True,2025-12-15
20,2024-11-18,BR,organic,spring_sale,mobile,female,40,free,True,True,2025-06-06
21,2024-12-23,IT,referral,black_friday,mobile,female,36,free,True,False,
22,2024-09-22,FR,email,,mobile,male,46,free,False,True,2025-03-06
23,2024-05-10,SE,paid_search,brand,mobile,female,40,basic,False,True,2024-08-08
24,2025-10-24,CO,paid_search,brand,mobile,male,26,free,False,False,
25,2025-07-12,MX,organic,,mobile,female,62,free,False,False,
26,2025-04-05,FR,referral,retargeting,mobile,male,39,basic,True,False,
27,2024-10-14,PL,paid_social,competitor,desktop,male,27,basic,False,False,
28,2025-08-11,FR,organic,,mobile,male,35,free,False,True,2025-11-05
29,2025-01-24,UK,display,,mobile,male,39,free,True,False,
30,2024-11-13,ES,affiliate,spring_sale,mobile,female,39,free,True,False,
31,2024-11-18,FR,paid_search,,mobile,unknown,38,basic,False,False,
32,2024-06-11,CO,referral,competitor,mobile,male,43,enterprise,False,False,
33,2024-03-06,PT,affiliate,back_to_school,mobile,female,42,free,False,False,
34,2025-01-31,US,organic,competitor,mobile,female,25,free,False,True,2025-02-27
35,2025-09-26,IT,paid_search,,desktop,male,54,free,True,False,
36,2024-02-15,ES,referral,brand,mobile,female,53,free,False,False,
37,2025-09-05,NO,affiliate,brand,desktop,female,41,free,False,False,
38,2025-08-14,IT,influencer,retargeting,mobile,male,33,pro,False,False,
39,2024-07-16,FR,organic,,mobile,female,34,free,True,True,2025-07-03
40,2025-03-27,ES,display,retargeting,desktop,female,30,free,True,True,2025-04-03
41,2024-04-28,PT,paid_search,retargeting,desktop,male,31,free,True,False,
42,2025-06-26,BR,paid_social,,mobile,male,18,free,False,False,
43,2025-05-15,DE,organic,back_to_school,mobile,male,48,pro,False,False,
44,2024-09-10,UK,paid_social,,mobile,female,45,basic,True,True,2025-02-03
45,2024-02-18,ES,paid_search,black_friday,mobile,male,18,pro,True,True,2024-03-03
46,2025-11-25,PL,organic,spring_sale,desktop,female,42,free,False,False,
47,2024-11-14,US,organic,brand,desktop,male,33,pro,,True,2025-03-30
48,2025-09-30,IT,paid_search,back_to_school,mobile,female,31,free,True,True,2025-12-13
49,2025-04-29,IT,organic,spring_sale,desktop,female,38,free,True,True,2025-08-06
50,2025-07-10,ES,organic,,mobile,non_binary,18,free,False,True,2025-07-29
51,2025-06-27,BR,paid_search,,mobile,female,33,free,True,False,
52,2024-05-19,UK,referral,,mobile,female,34,free,True,True,2024-10-10
53,2024-09-17,ES,email,retargeting,mobile,male,34,basic,,True,2025-09-30
54,2024-11-29,US,paid_search,,mobile,female,19,free,True,True,2025-03-21
55,2024-12-21,US,organic,brand,mobile,male,37,free,False,False,
56,2024-02-01,FR,email,back_to_school,mobile,male,44,basic,False,False,
57,2025-01-25,PT,paid_search,retargeting,desktop,male,37,free,True,True,2025-12-15
58,2024-04-20,PT,email,spring_sale,mobile,male,31,free,True,True,2024-07-09
59,2025-06-15,IT,referral,,desktop,male,60,basic,False,False,
60,2025-05-03,MX,organic,,mobile,unknown,24,basic,True,False,
61,2025-10-21,AT,organic,black_friday,desktop,female,41,free,True,False,
62,2025-06-16,MX,affiliate,brand,mobile,male,35,basic,True,True,2025-08-13
63,2024-09-19,UK,email,retargeting,desktop,male,53,basic,False,False,
64,2025-11-22,US,organic,brand,mobile,female,37,free,True,True,2025-12-15
65,2024-10-20,FR,paid_search,back_to_school,mobile,male,39,free,True,True,2025-12-15
66,2024-08-20,FR,referral,retargeting,mobile,male,38,basic,False,True,2024-09-23
67,2025-10-09,UK,paid_social,retargeting,mobile,unknown,22,free,False,True,2025-11-27
68,2024-09-21,UK,paid_search,retargeting,mobile,female,24,free,False,False,
69,2024-02-24,ES,email,competitor,mobile,male,30,free,False,True,2024-08-11
70,2024-12-01,NL,organic,back_to_school,tablet,female,43,free,True,True,2025-01-19
71,2025-07-22,ES,influencer,,mobile,female,35,free,True,False,
72,2024-05-15,ES,paid_social,competitor,mobile,female,31,basic,True,True,2024-06-24
73,2024-11-27,DE,affiliate,,desktop,male,47,free,False,False,
74,2024-04-02,US,display,,desktop,male,18,basic,True,True,2024-05-14
75,2025-05-05,ES,paid_social,,desktop,male,20,basic,True,True,2025-07-07
76,2024-12-06,IT,organic,spring_sale,tablet,female,18,free,True,False,
77,2024-08-24,SE,organic,back_to_school,mobile,female,45,basic,True,False,
78,2024-06-11,ES,email,,mobile,female,32,free,True,True,2024-06-18
79,2025-02-07,ES,referral,,mobile,female,43,free,True,True,2025-04-01
80,2025-04-23,ES,paid_search,retargeting,mobile,male,32,free,False,False,
81,2025-11-03,CO,paid_search,brand,mobile,female,43,free,False,False,
82,2024-11-08,ES,paid_search,spring_sale,mobile,male,32,free,True,False,
83,2024-04-24,NO,organic,competitor,desktop,female,37,free,True,False,
84,2025-08-18,ES,paid_social,,desktop,male,36,free,False,False,
85,2025-03-26,US,paid_social,retargeting,mobile,male,36,basic,True,False,
86,2025-05-15,DK,organic,spring_sale,mobile,male,50,basic,True,False,
87,2024-03-10,CO,paid_search,,mobile,male,18,basic,True,True,2024-04-19
88,2024-08-11,AR,paid_search,brand,desktop,female,32,free,True,True,2024-10-24
89,2025-07-03,CO,organic,spring_sale,mobile,male,35,free,True,False,
90,2025-08-18,ES,organic,retargeting,mobile,male,33,pro,True,False,
91,2024-11-07,NL,display,brand,tablet,male,29,free,False,False,
92,2025-07-29,US,organic,back_to_school,mobile,female,28,free,False,False,
93,2025-08-24,ES,organic,competitor,mobile,female,48,free,True,True,2025-10-13
94,2024-10-04,FR,email,,mobile,female,32,basic,False,False,
95,2025-10-04,IT,paid_search,brand,mobile,male,57,free,False,True,2025-12-15
96,2024-07-25,MX,organic,back_to_school,desktop,male,38,free,False,False,
97,2024-06-20,US,email,competitor,desktop,male,30,free,False,False,
98,2025-05-02,US,influencer,,mobile,male,39,basic,True,False,
99,2025-03-31,FR,organic,competitor,mobile,male,34,basic,,False,
100,2024-04-09,US,organic,spring_sale,tablet,male,46,pro,True,True,2024-05-30
101,2025-08-18,ES,display,,mobile,female,21,free,False,True,2025-12-15
102,2024-05-22,AR,paid_social,,mobile,male,18,free,True,False,
103,2025-07-29,UK,organic,brand,desktop,male,37,basic,True,False,
104,2024-01-06,PL,referral,black_friday,desktop,male,41,free,True,True,2024-03-19
